title,url,image,format,year,price,author,rating,publisher,length,ISBN,city/country,categories,quantity
Operation Joktan,https://www.bookdepository.com/Operation-Joktan-Amir-Tsarfati/9780736985208,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7369/9780736985208.jpg,Paperback,2021,18.05,Amir Tsarfati,5,"Harvest House Publishers,U.S.",368,9780736985208,"Eugene, OR, United States",Thriller Books,6
Hamnet,https://www.bookdepository.com/Hamnet-Maggie-OFarrell/9781472223821,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4722/9781472223821.jpg,Paperback,2021,16.18,Maggie O'Farrell,4.28,Headline Publishing Group,384,9781472223821,"London, United Kingdom",Contemporary Fiction,47
"Harry Potter and the Chamber of Secrets (Minalima Edition) (Illustrated Edition), 2",https://www.bookdepository.com/Harry-Potter-Chamber-Secrets-Minalima-Edition-Illustrated-Edition-2-J-K-Rowling/9781338716535,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3387/9781338716535.jpg,Hardback,2021,54.77,J K Rowling,4.43,SCHOLASTIC INC.,400,9781338716535,,Children's Fiction,2
The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 3,https://www.bookdepository.com/Scum-Villains-Self-Saving-System-Ren-Zha-Fanpai-Zijiu-Xitong-Novel-Vol-3-Mo-Xiang-Tong-Xiu/9781638582533,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6385/9781638582533.jpg,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.14,Seven Seas,400,9781638582533,United States,Fantasy,50
Conversations with Friends,https://www.bookdepository.com/Conversations-with-Friends-Sally-Rooney/9780571333134,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571333134.jpg,Paperback,2018,16.29,Sally Rooney,3.83,Faber & Faber,336,9780571333134,"London, United Kingdom",Contemporary Fiction,19
Roald Dahl's Marvellous Joke Book,https://www.bookdepository.com/Roald-Dahls-Marvellous-Joke-Book-Roald-Dahl/9780141340555,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141340555.jpg,Paperback,2012,22.57,Roald Dahl,3.94,Penguin Random House Children's UK,128,9780141340555,"London, United Kingdom",Activity Books,8
The Tiger Who Came to Tea,https://www.bookdepository.com/Tiger-Who-Came-Tea-Judith-Kerr/9780007215997,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0072/9780007215997.jpg,Paperback,2006,13.21,Judith Kerr,4.25,HarperCollins Publishers,32,9780007215997,"London, United Kingdom",Picture Books,4
The Snail and the Whale,https://www.bookdepository.com/Snail-Whale-Julia-Donaldson/9780142405802,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1424/9780142405802.jpg,Paperback,2006,14.95,Julia Donaldson,4.38,Penguin Putnam Inc,32,9780142405802,"New York, United States",Storybooks,26
Where's Spot?,https://www.bookdepository.com/Wheres-Spot-Eric-Hill/9780723263661,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7232/9780723263661.jpg,Board book,2011,13.93,Eric Hill,4.11,Penguin Random House Children's UK,22,9780723263661,"London, United Kingdom",Characters,26
The Roommate,https://www.bookdepository.com/Roommate-Rosie-Danan/9780349427522,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349427522.jpg,Paperback,2020,11.58,Rosie Danan,3.72,"Little, Brown Book Group",336,9780349427522,"London, United Kingdom",Adult & Contemporary Romance,41
"Beautiful World, Where Are You",https://www.bookdepository.com/Beautiful-World-Where-Are-You-Sally-Rooney/9780571365425,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571365425.jpg,Hardback,2021,27.94,Sally Rooney,3.86,FABER & FABER,352,9780571365425,"London, United Kingdom",Contemporary Fiction,11
The Invisible String,https://www.bookdepository.com/Invisible-String-Patrice-Karst/9780316486231,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3164/9780316486231.jpg,Paperback,2018,15.73,Patrice Karst,4.47,Hachette Book Group,40,9780316486231,"London, United States",Children's Fiction,6
Your One Wild and Precious Life,https://www.bookdepository.com/Your-One-Wild-Precious-Life-Maureen-Gaffney/9780241437728,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2414/9780241437728.jpg,Paperback,2021,26.8,Maureen Gaffney,3.67,Penguin Books Ltd,416,9780241437728,"London, United Kingdom",Sociology: Family & Relationships,8
The Four Agreements,https://www.bookdepository.com/Four-Agreements-Don-Miguel-Ruiz/9781878424310,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8784/9781878424310.jpg,Paperback,1997,20.53,Don Miguel Ruiz,4.16,"Amber-Allen Publishing,U.S.",160,9781878424310,"San Rafael, CA, United States",Philosophy Of Mind,20
Unguarded,https://www.bookdepository.com/Unguarded-Scottie-Pippen/9781982165192,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9821/9781982165192.jpg,Hardback,2021,36.36,Scottie Pippen,4.33,Atria Books,320,9781982165192,,Biography: Sport,35
Moonology (TM) Manifestation Oracle,https://www.bookdepository.com/Moonology-TM-Manifestation-Oracle-Yasmin-Boland/9781788176521,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7881/9781788176521.jpg,Cards,2021,31.88,Yasmin Boland,5,Hay House UK Ltd,144,9781788176521,"London, United Kingdom","Mind, Body, Spirit: Thought & Practice",25
Look Inside Things That Go,https://www.bookdepository.com/Look-Inside-Things-That-Go-Rob-Lloyd-Jones/9781409550259,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4095/9781409550259.jpg,Board book,2013,21.68,Rob Lloyd Jones,4.46,Usborne Publishing Ltd,14,9781409550259,"London, United Kingdom",Picture Books,21
Heretics Of Dune,https://www.bookdepository.com/Heretics-Dune-Frank-Herbert/9781473233799,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473233799.jpg,Paperback,2021,17.21,Frank Herbert,3.88,Orion Publishing Co,512,9781473233799,"London, United Kingdom",Science Fiction,17
Small Things Like These,https://www.bookdepository.com/Small-Things-Like-These-Claire-Keegan/9780571368686,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571368686.jpg,Hardback,2021,18.21,Claire Keegan,4.29,Faber & Faber,128,9780571368686,"London, United Kingdom",Contemporary Fiction,28
The Concise 48 Laws Of Power,https://www.bookdepository.com/Concise-48-Laws-Power-Robert-Greene/9781861974044,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8619/9781861974044.jpg,Paperback,2002,13.81,Robert Greene,4.23,Profile Books Ltd,208,9781861974044,"London, United Kingdom",Society & Culture: General,5
A Guide to Japanese Role-Playing Games,https://www.bookdepository.com/Guide-Japanese-Role-Playing-Games-Bitmap-Books/9781838019143,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8380/9781838019143.jpg,Hardback,2021,68.76,Bitmap Books,5,Bitmap Books,652,9781838019143,United Kingdom,Computing: General,46
The Flatshare,https://www.bookdepository.com/Flatshare-Beth-OLeary/9781787474413,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7874/9781787474413.jpg,Paperback,2020,14.67,Beth O'Leary,4.08,Quercus Publishing,432,9781787474413,"London, United Kingdom",Contemporary Fiction,44
The Cat Who Saved Books,https://www.bookdepository.com/Cat-Who-Saved-Books-Sosuke-Natsukawa/9781529081473,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529081473.jpg,Hardback,2021,16.04,Sosuke Natsukawa,3.61,Pan Macmillan,224,9781529081473,"London, United Kingdom",Contemporary Fiction,3
Harry Potter and the Philosopher's Stone: MinaLima Edition,https://www.bookdepository.com/Harry-Potter-Philosophers-Stone-MinaLima-Edition-J-K-Rowling/9781526626585,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526626585.jpg,Hardback,2021,48.39,J.K. Rowling,4.47,Bloomsbury Publishing PLC,368,9781526626585,"London, United Kingdom",Contemporary Fiction,8
Start With Why,https://www.bookdepository.com/Start-With-Why-Simon-Sinek/9780241958223,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2419/9780241958223.jpg,Paperback,2011,16.85,Simon Sinek,4.08,Penguin Books Ltd,256,9780241958223,"London, United Kingdom",Military History,9
The Alchemist,https://www.bookdepository.com/Alchemist-Paulo-Coelho/9780062355300,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0623/9780062355300.jpg,Paperback,2020,12.55,Paulo Coelho,3.89,Harper,182,9780062355300,United States,Contemporary Fiction,43
"Solo Leveling, Vol. 2",https://www.bookdepository.com/Solo-Leveling-Vol-2-Chugong/9781975319458,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975319458.jpg,Paperback,2021,28.81,Chugong,4.59,Yen Press,192,9781975319458,"New York, United States",Fantasy,33
This Is Vegan Propaganda,https://www.bookdepository.com/This-Is-Vegan-Propaganda-Ed-Winters/9781785043765,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7850/9781785043765.jpg,Hardback,2022,25.78,Ed Winters,5,Ebury Publishing,320,9781785043765,"London, United Kingdom",Ethics & Moral Philosophy,32
Entangled Life,https://www.bookdepository.com/Entangled-Life-Merlin-Sheldrake/9781784708276,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7847/9781784708276.jpg,Paperback,2021,19.99,Merlin Sheldrake,4.39,Vintage Publishing,368,9781784708276,"London, United Kingdom","Mycology, Fungi (non-medical)",42
Windswept & Interesting,https://www.bookdepository.com/Windswept-Interesting-Billy-Connolly/9781529318265,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529318265.jpg,Hardback,2022,35.12,Billy Connolly,4.59,Hodder & Stoughton,400,9781529318265,"London, United Kingdom",Individual Actors & Performers,1
The Seven Husbands of Evelyn Hugo,https://www.bookdepository.com/Seven-Husbands-Evelyn-Hugo-Taylor-Jenkins-Reid/9781501161933,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5011/9781501161933.jpg,Paperback,2018,21.59,Taylor Jenkins Reid,4.45,SIMON & SCHUSTER,400,9781501161933,"New York, United States",Contemporary Fiction,8
The Koala Who Could,https://www.bookdepository.com/Koala-Who-Could-Rachel-Bright/9781408331644,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4083/9781408331644.jpg,Paperback,2017,13.55,Rachel Bright,4.27,Hachette Children's Group,32,9781408331644,"London, United Kingdom",Storybooks,8
Aristotle and Dante Dive Into the Waters of the World,https://www.bookdepository.com/Aristotle-Dante-Dive-Into-Waters-World-Benjamin-Alire-Sáenz/9781398505278,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398505278.jpg,Paperback,2021,19.11,Benjamin Alire Sáenz,4.29,Simon & Schuster Ltd,528,9781398505278,"London, United Kingdom",Children's Fiction,36
Window Shopping,https://www.bookdepository.com/Window-Shopping-Tessa-Bailey/9781087987590,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0879/9781087987590.jpg,Paperback,2021,19.89,Tessa Bailey,4.07,Tessa Bailey,258,9781087987590,,Adult & Contemporary Romance,17
The Bell Jar,https://www.bookdepository.com/Bell-Jar-Sylvia-Plath/9780571081783,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5710/9780571081783.jpg,Paperback,2011,22.26,Sylvia Plath,4.02,Faber & Faber,240,9780571081783,"London, United Kingdom",Autobiography: Literary,15
The Dinosaur's Diary,https://www.bookdepository.com/Dinosaurs-Diary-Julia-Donaldson/9780141313825,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141313825.jpg,Paperback,2002,11.22,Julia Donaldson,3.99,Penguin Random House Children's UK,112,9780141313825,"London, United Kingdom",Children's General Story Books,20
It Happened One Summer,https://www.bookdepository.com/It-Happened-One-Summer-Tessa-Bailey/9780063045651,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0630/9780063045651.jpg,Paperback,2021,22.77,Tessa Bailey,4.15,HarperCollins Publishers Inc,416,9780063045651,"New York, United States",Contemporary Fiction,16
Inward,https://www.bookdepository.com/Inward-YUNG-PUEBLO/9781449495756,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4494/9781449495756.jpg,Paperback,2020,25.68,YUNG PUEBLO,4.4,Andrews McMeel Publishing,240,9781449495756,"Kansas City, United States",Poetry Books,42
Atomic Habits,https://www.bookdepository.com/Atomic-Habits-James-Clear/9780735211292,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7352/9780735211292.jpg,Hardback,2018,28.13,James Clear,4.36,Avery Publishing Group,320,9780735211292,United States,"Social, Group Or Collective Psychology",34
The Dessert Game,https://www.bookdepository.com/Dessert-Game-Reynold-Poernomo/9781911668367,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9116/9781911668367.jpg,Paperback,2021,33.27,Reynold Poernomo,5,Murdoch Books,208,9781911668367,"London, United Kingdom",General Cookery,48
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,https://www.bookdepository.com/Heaven-Officials-Blessing-Tian-Guan-Ci-Fu-Novel-Vol-2-Mo-Xiang-Tong-Xiu/9781648279188,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279188.jpg,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.35,"Seven Seas Entertainment, LLC",544,9781648279188,"West Hollywood, United States",Fantasy,45
The Vanishing Half,https://www.bookdepository.com/Vanishing-Half-Brit-Bennett/9780349701479,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3497/9780349701479.jpg,Paperback,2021,14.69,Brit Bennett,4.21,"Little, Brown Book Group",384,9780349701479,"London, United Kingdom",Contemporary Fiction,34
Foundation,https://www.bookdepository.com/Foundation-Isaac-Asimov/9780008117498,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0081/9780008117498.jpg,Paperback,2016,10.82,Isaac Asimov,4.17,HarperCollins Publishers,240,9780008117498,"London, United Kingdom",Classic Books & Novels,24
Come as You Are: Revised and Updated,https://www.bookdepository.com/Come-You-Are-Revised-Updated-Emily-Nagoski/9781982165314,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9821/9781982165314.jpg,Paperback,2021,27.77,Emily Nagoski,4.26,Simon & Schuster,400,9781982165314,,Gender Studies: Women,7
Mindset - Updated Edition,https://www.bookdepository.com/Mindset-Updated-Edition-Dr-Carol-Dweck/9781472139955,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4721/9781472139955.jpg,Paperback,2017,15.91,Dr Carol Dweck,4.05,"Little, Brown Book Group",320,9781472139955,"London, United Kingdom",Psychology,24
Oh William!,https://www.bookdepository.com/Oh-William-Elizabeth-Strout/9780241508176,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2415/9780241508176.jpg,Hardback,2021,24.14,Elizabeth Strout,4.14,Penguin Books Ltd,256,9780241508176,"London, United Kingdom",Contemporary Fiction,6
The Very Hungry Caterpillar: Little Learning Library,https://www.bookdepository.com/Very-Hungry-Caterpillar-Little-Learning-Library-Eric-Carle/9780141385112,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1413/9780141385112.jpg,Board book,2011,13.92,Eric Carle,4.12,Penguin Random House Children's UK,48,9780141385112,"London, United Kingdom",Baby Books,36
The Day the Crayons Quit,https://www.bookdepository.com/Day-Crayons-Quit-Drew-Daywalt/9780007513765,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0075/9780007513765.jpg,Paperback,2014,17.11,Drew Daywalt,4.37,HarperCollins Publishers,40,9780007513765,"London, United Kingdom",Characters,24
"Jujutsu Kaisen, Vol. 6",https://www.bookdepository.com/Jujutsu-Kaisen-Vol-6-Gege-Akutami/9781974714827,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974714827.jpg,Paperback,2020,14.89,Gege Akutami,4.55,"Viz Media, Subs. of Shogakukan Inc",192,9781974714827,"San Francisco, United States",Graphic Novels: Manga,26
The Power of Geography,https://www.bookdepository.com/Power-Geography-Tim-Marshall/9781783966028,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7839/9781783966028.jpg,Paperback,2021,19.62,Tim Marshall,4.19,Elliott & Thompson Limited,432,9781783966028,"London, United Kingdom",Politics & Government,27
This is Going to Hurt,https://www.bookdepository.com/This-is-Going-Hurt-Adam-Kay/9781509858637,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5098/9781509858637.jpg,Paperback,2018,13.71,Adam Kay,4.39,Pan Macmillan,256,9781509858637,"London, United Kingdom","Biography: Science, Technology & Engineering",12
We Were Liars,https://www.bookdepository.com/We-Were-Liars-E-Lockhart/9781471403989,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4714/9781471403989.jpg,Paperback,2014,20.77,E. Lockhart,3.8,Hot Key Books,240,9781471403989,"London, United Kingdom",Romance Books for Teenagers,30
Stick Man,https://www.bookdepository.com/Stick-Man-Julia-Donaldson/9781407170718,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4071/9781407170718.jpg,Paperback,2016,12.42,Julia Donaldson,4.27,Scholastic,32,9781407170718,"London, United Kingdom",Characters,32
Treacle Walker,https://www.bookdepository.com/Treacle-Walker-Alan-Garner/9780008477790,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0084/9780008477790.jpg,Hardback,2021,24.53,Alan Garner,4.38,HarperCollins Publishers,160,9780008477790,"London, United Kingdom",Contemporary Fiction,13
Crime and Punishment,https://www.bookdepository.com/Crime-Punishment-Fyodor-Dostoevsky/9781840224306,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8402/9781840224306.jpg,Paperback,2000,9.4,Fyodor Dostoevsky,4.23,Wordsworth Editions Ltd,528,9781840224306,"Herts, United Kingdom",Classic Books & Novels,6
The Great Dune Trilogy,https://www.bookdepository.com/Great-Dune-Trilogy-Frank-Herbert/9781473224469,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473224469.jpg,Hardback,2019,63.24,Frank Herbert,4.37,Orion Publishing Co,912,9781473224469,"London, United Kingdom",Classic Books & Novels,47
The Queen of Nothing (The Folk of the Air #3),https://www.bookdepository.com/Queen-Nothing-Folk-Air-3-Holly-Black/9781471407598,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4714/9781471407598.jpg,Paperback,2020,14.1,Holly Black,4.35,Hot Key Books,320,9781471407598,"London, United Kingdom",Fantasy,7
The Unhoneymooners,https://www.bookdepository.com/Unhoneymooners-Christina-Lauren/9780349417592,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349417592.jpg,Paperback,2020,15.0,Christina Lauren,4.02,"Little, Brown Book Group",432,9780349417592,"London, United Kingdom",Romance,50
The Intelligent Investor,https://www.bookdepository.com/Intelligent-Investor-Benjamin-Graham/9780060555665,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0605/9780060555665.jpg,Paperback,2003,31.12,Benjamin Graham,4.22,HarperCollins Publishers Inc,640,9780060555665,"New York, United States","Business, Finance & Law",22
"Spy x Family, Vol. 4",https://www.bookdepository.com/Spy-x-Family-Vol-4-Tatsuya-Endo/9781974721030,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974721030.jpg,Paperback,2021,14.53,Tatsuya Endo,4.54,"Viz Media, Subs. of Shogakukan Inc",192,9781974721030,"San Francisco, United States",Graphic Novels: Manga,34
Gateway of Light Activation Oracle,https://www.bookdepository.com/Gateway-Light-Activation-Oracle-Kyle-Gray/9781788175883,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7881/9781788175883.jpg,Cards,2021,22.01,Kyle Gray,4.5,Hay House UK Ltd,176,9781788175883,"London, United Kingdom","Mind, Body, Spirit: Thought & Practice",13
"Best Wishes, Warmest Regards",https://www.bookdepository.com/Best-Wishes-Warmest-Regards-Daniel-Levy/9781398708617,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3987/9781398708617.jpg,Hardback,2021,62.5,Daniel Levy,4.33,Orion Publishing Co,368,9781398708617,"London, United Kingdom",Television,6
Maid,https://www.bookdepository.com/Maid-Stephanie-Land/9780316505093,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3165/9780316505093.jpg,Paperback,2020,25.16,Stephanie Land,3.75,Legacy Lit,288,9780316505093,United States,Biography: General,35
"86 - EIGHTY SIX, Vol. 2 (light novel)",https://www.bookdepository.com/86-EIGHTY-SIX-Vol-2-light-novel-Asato-Asato/9781975303143,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9753/9781975303143.jpg,Paperback,2019,21.02,Asato Asato,4.02,"Little, Brown & Company",224,9781975303143,"New York, United States",Science Fiction,7
The Mountain Is You,https://www.bookdepository.com/Mountain-Is-You-Brianna-Wiest/9781949759228,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9497/9781949759228.jpg,Paperback,2020,36.21,Brianna Wiest,4.41,Thought Catalog Books,248,9781949759228,,"Assertiveness, Motivation & Self-esteem",28
Six of Crows,https://www.bookdepository.com/Six-Crows-Leigh-Bardugo/9781780622286,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7806/9781780622286.jpg,Paperback,2016,16.91,Leigh Bardugo,4.47,Hachette Children's Group,512,9781780622286,"London, United Kingdom",Romance,41
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3,https://www.bookdepository.com/Grandmaster-Demonic-Cultivation-Mo-Dao-Zu-Shi-Novel-Vol-3-Mo-Xiang-Tong-Xiu/9781638581567,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6385/9781638581567.jpg,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.88,Seven Seas,504,9781638581567,United States,Fantasy,29
Verity,https://www.bookdepository.com/Verity-Colleen-Hoover/9781538724736,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5387/9781538724736.jpg,Paperback,2021,25.92,Colleen Hoover,4.73,Grand Central Publishing,336,9781538724736,,Crime,22
Dune,https://www.bookdepository.com/Dune-Frank-Herbert/9781529347852,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529347852.jpg,Paperback,2021,20.99,Frank Herbert,4.24,Hodder & Stoughton,592,9781529347852,"London, United Kingdom",Contemporary Fiction,43
Attached,https://www.bookdepository.com/Attached-Amir-Levine/9781529032178,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5290/9781529032178.jpg,Paperback,2019,15.52,Amir Levine,4.13,Pan Macmillan,304,9781529032178,"London, United Kingdom",Psychotherapy,19
The Wicked King (The Folk of the Air #2),https://www.bookdepository.com/Wicked-King-Folk-Air-2-Holly-Black/9781471407369,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4714/9781471407369.jpg,Paperback,2019,23.71,Holly Black,4.33,Hot Key Books,368,9781471407369,"London, United Kingdom",Fantasy,9
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),https://www.bookdepository.com/Book-You-Wish-Your-Parents-Had-Read-Your-Children-Will-Be-Glad-That-You-Did-Philippa-Perry/9780241251027,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2412/9780241251027.jpg,Paperback,2021,24.58,Philippa Perry,4.1,Penguin Books Ltd,272,9780241251027,"London, United Kingdom",Psychotherapy,4
Moleskine Ltd. Ed. Peanuts 2022 12-Month Daily Pocket Hardcover Notebook: Yellow,https://www.bookdepository.com/Moleskine-Ltd-Ed-Peanuts-2022-12-Month-Daily-Pocket-Hardcover-Notebook-Yellow-Moleskine/8056420857085,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/8056/4208/8056420857085.jpg,Hardback,2021,22.37,Moleskine,4.57,Moleskine,400,8056420857085,Italy,Miscellaneous Items,43
"Given, Vol. 6",https://www.bookdepository.com/Given-Vol-6-Natsuki-Kizu/9781974723676,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9747/9781974723676.jpg,Paperback,2021,19.02,Natsuki Kizu,4.46,"Viz Media, Subs. of Shogakukan Inc",162,9781974723676,United States,Graphic Novels: Manga,28
Scattered Minds,https://www.bookdepository.com/Scattered-Minds-Dr-Gabor-Mate/9781785042218,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7850/9781785042218.jpg,Paperback,2019,18.87,Dr Gabor Mate,4.39,Ebury Publishing,368,9781785042218,"London, United Kingdom",Health Books,15
The Daily Stoic,https://www.bookdepository.com/Daily-Stoic-Ryan-Holiday/9781781257654,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7812/9781781257654.jpg,Paperback,2017,17.75,Ryan Holiday,4.2,Profile Books Ltd,416,9781781257654,"London, United Kingdom",Personal Development,3
Six Crimson Cranes,https://www.bookdepository.com/Six-Crimson-Cranes-Elizabeth-Lim/9781529356557,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529356557.jpg,Hardback,2021,31.25,Elizabeth Lim,4.32,HODDER & STOUGHTON,464,9781529356557,"London, United Kingdom",Fantasy,49
Chapter House Dune,https://www.bookdepository.com/Chapter-House-Dune-Frank-Herbert/9781473233812,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473233812.jpg,Paperback,2021,16.07,Frank Herbert,3.92,Orion Publishing Co,480,9781473233812,"London, United Kingdom",Science Fiction,26
Cytonic,https://www.bookdepository.com/Cytonic-Brandon-Sanderson/9781473217935,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4732/9781473217935.jpg,Hardback,2021,30.35,Brandon Sanderson,4.38,Orion Publishing Co,432,9781473217935,"London, United Kingdom",Adventure Books,45
November 9,https://www.bookdepository.com/November-9-Colleen-Hoover/9781471154621,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4711/9781471154621.jpg,Paperback,2015,14.87,Colleen Hoover,4.33,Simon & Schuster Ltd,320,9781471154621,"London, United Kingdom",Romance,17
American Psycho,https://www.bookdepository.com/American-Psycho-Bret-Easton-Ellis/9781447277705,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4472/9781447277705.jpg,Paperback,2015,17.63,Bret Easton Ellis,3.82,Pan Macmillan,416,9781447277705,"London, United Kingdom",Contemporary Fiction,8
