title,url,image,format,year,price,author,rating,publisher,length,ISBN,city/country,categories,quantity
The Storyteller,https://www.bookdepository.com/Storyteller-Dave-Grohl/9781398503700,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/3985/9781398503700.jpg,Hardback,2021,34.01,Dave Grohl,4.62,Simon & Schuster Ltd,384,9781398503700,"London, United Kingdom","Individual Composers & Musicians, Specific Bands & Groups",8
The Scum Villain's Self-Saving System,https://www.bookdepository.com/Scum-Villains-Self-Saving-System-Mo-Xiang-Tong-Xiu/9781648279218,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6482/9781648279218.jpg,Paperback,2021,23.16,Mo Xiang Tong Xiu,4.85,"Seven Seas Entertainment, LLC",400,9781648279218,"West Hollywood, United States",Fantasy,4
The Real Anthony Fauci,https://www.bookdepository.com/Real-Anthony-Fauci-Robert-F-Kennedy-Jr/9781510766808,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5107/9781510766808.jpg,Hardback,2021,37.47,Robert F. Kennedy Jr.,5,Skyhorse Publishing,216,9781510766808,"New York, United States","Biography: Science, Technology & Engineering",24
The Hating Game,https://www.bookdepository.com/Hating-Game-Sally-Thorne/9780349414263,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3494/9780349414263.jpg,Paperback,2017,14.31,Sally Thorne,4.1,"Little, Brown Book Group",384,9780349414263,"London, United Kingdom",Contemporary Fiction,8
Man's Search For Meaning,https://www.bookdepository.com/Mans-Search-For-Meaning-Viktor-E-Frankl/9781846041242,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8460/9781846041242.jpg,Paperback,2015,11.59,Viktor E Frankl,4.35,Ebury Publishing,160,9781846041242,"London, United Kingdom",Holocaust,12
The Beekeeper of Aleppo,https://www.bookdepository.com/Beekeeper-Aleppo-Christy-Lefteri/9781838770013,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8387/9781838770013.jpg,Paperback,2020,13.23,Christy Lefteri,4.2,Bonnier Books Ltd,400,9781838770013,United Kingdom,Contemporary Fiction,8
Atomic Habits,https://www.bookdepository.com/Atomic-Habits-James-Clear/9781847941831,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8479/9781847941831.jpg,Paperback,2018,27.47,James Clear,4.36,Cornerstone,320,9781847941831,"London, United Kingdom","Literary Studies: Classical, Early & Medieval",10
Diary of a Wimpy Kid: Big Shot (Book 16),https://www.bookdepository.com/Diary-Wimpy-Kid-Big-Shot-Book-16-Jeff-Kinney/9780241396650,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2413/9780241396650.jpg,Hardback,2021,21.45,Jeff Kinney,4.59,Penguin Random House Children's UK,224,9780241396650,"London, United Kingdom",Family,43
Fleabag: The Scriptures,https://www.bookdepository.com/Fleabag-Scriptures-Phoebe-Waller-Bridge/9781529341799,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529341799.jpg,Paperback,2021,27.58,Phoebe Waller-Bridge,5,Hodder & Stoughton,416,9781529341799,"London, United Kingdom",Film Scripts & Screenplays,15
This Much is True,https://www.bookdepository.com/This-Much-is-True-Miriam-Margolyes/9781529379884,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5293/9781529379884.jpg,Hardback,2022,36.09,Miriam Margolyes,4.4,John Murray Press,448,9781529379884,"London, United Kingdom",Biography: General,34
Giraffes Can't Dance,https://www.bookdepository.com/Giraffes-Cant-Dance-Giles-Andreae/9781841215655,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8412/9781841215655.jpg,Paperback,2014,12.28,Giles Andreae,4.27,Hachette Children's Group,32,9781841215655,"London, United Kingdom",Picture Books,6
No Longer Human,https://www.bookdepository.com/No-Longer-Human-Osamu-Dazai/9780811204811,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/8112/9780811204811.jpg,Paperback,2020,23.56,Osamu Dazai,4.15,New Directions Publishing Corporation,176,9780811204811,"New York, United States",Contemporary Fiction,3
